,T1,Mean_T1,Median_T1,Max_T1,Min_T1,B0,Mean_B0,Median_B0,Max_B0,Min_B0,B1000,Mean_B1000,Median_B1000,Max_B1000,Min_B1000,B1500,Mean_B1500,Median_B1500,Max_B1500,Min_B1500,B2000,Mean_B2000,Median_B2000,Max_B2000,Min_B2000,ADC,Mean_ADC,Median_ADC,Max_ADC,Min_ADC,Position_X,Position_Y,Position_Z,class
431,796.0,849.824,838.0,1115.0,590.0,51.0,92.256,65.0,193.0,31.0,23.0,29.104,27.0,46.0,16.0,16.0,17.216,18.0,23.0,9.0,11.0,10.664,10.0,19.0,4.0,836.0,966.816,836.0,1707.0,350.0,31,755,315,healthy
432,1103.0,867.528,856.0,1157.0,482.0,35.0,61.68,48.0,204.0,15.0,28.0,26.816,27.0,49.0,17.0,25.0,18.688,19.0,28.0,10.0,22.0,13.784,13.0,28.0,5.0,208.0,670.976,583.0,1432.0,0.0,31,758,160,healthy
433,695.0,757.064,719.0,1032.0,542.0,33.0,299.256,225.0,893.0,0.0,29.0,38.192,40.0,51.0,22.0,10.0,15.56,16.0,35.0,3.0,8.0,7.776,8.0,27.0,0.0,801.0,1675.2,1612.0,3571.0,502.0,31,761,331,healthy
434,705.0,895.36,855.0,1338.0,379.0,131.0,335.44,83.0,1878.0,33.0,29.0,49.904,34.0,168.0,23.0,14.0,24.008,23.0,63.0,8.0,10.0,14.184,14.0,24.0,2.0,1180.0,1119.608,940.0,2494.0,198.0,31,765,265,healthy
435,1046.0,986.696,1040.0,1378.0,660.0,36.0,54.216,46.0,173.0,25.0,33.0,29.752,30.0,46.0,19.0,32.0,22.704,22.0,38.0,12.0,31.0,18.968,17.0,37.0,7.0,206.0,549.696,575.0,1455.0,0.0,31,765,285,healthy
436,954.0,897.872,910.0,1353.0,528.0,72.0,176.448,65.0,1044.0,0.0,41.0,52.856,38.0,247.0,22.0,30.0,30.08,27.0,120.0,11.0,22.0,19.712,19.0,58.0,5.0,615.0,794.584,626.0,1908.0,74.0,31,767,225,healthy
437,1347.0,1235.52,1275.0,1447.0,930.0,80.0,65.192,65.0,275.0,6.0,46.0,38.472,37.0,57.0,28.0,36.0,29.0,30.0,40.0,10.0,27.0,24.288,26.0,38.0,10.0,494.0,447.32,449.0,1330.0,18.0,31,777,190,healthy
438,949.0,830.224,819.0,1324.0,390.0,43.0,41.784,39.0,180.0,0.0,27.0,27.648,27.0,41.0,10.0,22.0,23.4,22.0,37.0,9.0,17.0,20.616,17.0,36.0,8.0,448.0,409.752,403.0,1140.0,34.0,31,778,224,healthy
439,1098.0,969.784,1024.0,1179.0,586.0,18.0,86.28,37.0,371.0,14.0,26.0,34.28,30.0,95.0,20.0,24.0,21.112,20.0,48.0,8.0,23.0,16.144,17.0,28.0,3.0,286.0,612.704,327.0,1658.0,0.0,31,781,289,healthy
440,1122.0,1019.192,1071.0,1315.0,523.0,108.0,75.76,72.0,143.0,27.0,33.0,30.472,30.0,46.0,21.0,18.0,20.24,19.0,40.0,13.0,10.0,13.848,13.0,38.0,7.0,1207.0,822.616,862.0,1472.0,177.0,31,788,176,healthy
441,1019.0,943.288,957.0,1422.0,368.0,31.0,76.24,55.0,241.0,16.0,28.0,34.328,33.0,60.0,21.0,23.0,23.256,23.0,34.0,14.0,19.0,16.296,17.0,25.0,8.0,158.0,626.632,525.0,1346.0,61.0,31,820,333,healthy
442,1454.0,1269.72,1358.0,1664.0,580.0,49.0,62.36,57.0,137.0,30.0,37.0,42.184,43.0,54.0,25.0,31.0,30.456,31.0,37.0,16.0,23.0,21.944,23.0,27.0,11.0,210.0,350.424,326.0,852.0,67.0,31,830,317,healthy
443,1573.0,1393.936,1458.0,1667.0,959.0,68.0,76.944,69.0,370.0,6.0,52.0,44.632,44.0,54.0,35.0,36.0,30.688,32.0,37.0,20.0,26.0,21.712,23.0,26.0,9.0,307.0,480.272,397.0,1460.0,108.0,31,855,174,healthy
444,1324.0,1367.76,1390.0,1894.0,330.0,125.0,237.024,120.0,1059.0,26.0,42.0,51.8,51.0,78.0,25.0,24.0,29.28,29.0,38.0,21.0,14.0,18.192,19.0,27.0,8.0,870.0,907.176,707.0,2044.0,287.0,31,859,310,healthy
445,1163.0,990.56,1068.0,1618.0,380.0,50.0,114.416,93.0,308.0,28.0,25.0,38.904,42.0,61.0,17.0,17.0,22.48,20.0,38.0,5.0,12.0,14.224,12.0,27.0,0.0,1322.0,930.768,1104.0,1726.0,49.0,31,870,147,healthy
446,1416.0,1307.072,1365.0,1533.0,687.0,25.0,37.696,30.0,112.0,11.0,28.0,34.216,35.0,47.0,21.0,25.0,24.544,25.0,33.0,10.0,21.0,19.392,20.0,25.0,5.0,75.0,287.856,167.0,1155.0,1.0,31,873,381,healthy
